year,parent_entity,parent_type,commodity,production_value,production_unit,total_emissions_MtCO2e
1962,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,0.9125000000000002,Million bbl/yr,0.3638848308984855
1962,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1.8432499999999996,Bcf/yr,0.13435521203446849
1963,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1.8250000000000004,Million bbl/yr,0.727769661796971
1963,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,4.4238,Bcf/yr,0.32245250888272436
1964,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,7.300000000000002,Million bbl/yr,2.911078647187884
1964,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,17.326549999999997,Bcf/yr,1.2629389931240036
1965,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,10.950000000000001,Million bbl/yr,4.366617970781826
1965,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,25.0682,Bcf/yr,1.8272308836687716
1966,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,13.504999999999999,Million bbl/yr,5.385495497297585
1966,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,29.86065,Bcf/yr,2.1765544349583896
1967,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,14.6,Million bbl/yr,5.822157294375768
1967,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,29.86065,Bcf/yr,2.1765544349583896
1968,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,18.25,Million bbl/yr,7.277696617969709
1968,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,39.0769,Bcf/yr,2.8483304951307318
1969,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,22.265,Million bbl/yr,8.878789873923047
1969,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,47.1872,Bcf/yr,3.4394934280823937
1970,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,25.7325,Million bbl/yr,10.261552231337292
1970,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,53.822900000000004,Bcf/yr,3.9231721914064805
1971,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,34.309999999999995,Million bbl/yr,13.682069641783054
1971,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,72.9927,Bcf/yr,5.320466396564951
1972,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,37.96,Million bbl/yr,15.137608965376995
1972,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,79.6284,Bcf/yr,5.804145159889039
